일자,시간대,시간,프로그램,장소,담당,비고
목요일 (8/6),오전,07:00,출발,교회,행정·안전 TF,07:00 출발 → 11:00경 도착
목요일 (8/6),오전,11:00,도착·오리엔테이션·예배·숙소 배정,현지 교회,본부팀,도착 직후 짐 정리·공간 구분
목요일 (8/6),점심,12:30,외부 식당(조별 사먹기),현지 식당,섬김조,조별로 갈 식당 5곳 사전 확보
목요일 (8/6),오후,14:00,청소(교회·마을·장애인 가정),교회/마을,현장봉사 TF,청소도구 택배 사전 발송
목요일 (8/6),오후,14:00,장보기·고기파티 준비,마트/주방,조리팀,
목요일 (8/6),저녁,18:00,고기파티(특식 바베큐),교회 마당,조리팀,씻고 → 바베큐
목요일 (8/6),야간,21:00,마주 앉은 밤 ① 우리를 보내신 이유,본당,예배·나눔 TF,첫날은 일찍 취침(다음날 농활)
금요일 (8/7),새벽,05:00,기상,숙소,전체,
금요일 (8/7),오전,06:00,농활 (~11:00),농지,현장봉사 TF,땡볕 전 마무리 · 농활팀
금요일 (8/7),오전,06:00,마을잔치 준비,마을회관,마을잔치 TF,(필요 시) 농활팀과 분리해 별도 운영
금요일 (8/7),점심,12:00,마을잔치 (~14:00) + 정리 1시간,마을회관,마을잔치 TF,우선안. 목사님 협의 후 확정(불가 시 저녁)
금요일 (8/7),오후,15:00,물놀이 (~17/18:00),계곡/수영장,행정·안전 TF,"차량 셔틀 운용, 간식 제공"
금요일 (8/7),저녁,18:30,외부 식당 또는 바베큐 잔여,식당/교회,섬김조,
금요일 (8/7),야간,21:00,마주 앉은 밤 ② 오늘 만난 마음들,본당,예배·나눔 TF,이후 자유 야간활동
금요일 (8/7),야간,23:00,야간 놀이 / 새벽 통제,마을회관,조은혁 전도사,운전자·교역자는 취침
토요일 (8/8),오전,08:00,숙소·교회·주방 정리 (~10:00),전체,섬김조,
토요일 (8/8),오전,10:00,자체 활동(땅밟기·플로깅·버스킹) + 공방 체험,마을,활동 TF,공방 예약·인원 협의 필요
토요일 (8/8),점심,12:30,괴산 시내(괴산면) 이동 → 13:00 조별 사먹기,괴산면 시내,본부팀,지역사랑상품권 지급(현금 대신)
토요일 (8/8),오후,14:00,주님의교회 전체 마을전도(노방전도),괴산 시내,본부팀,메인팀 안내에 따름 (~15/16:00)
토요일 (8/8),이후,16:00,이동·귀가,버스,행정·안전 TF,20:00~21:00 도착 예상. 저녁은 휴게소 각자
